order_id,output
001250fc-acbf-45fb-a89b-95d17005e3bf,"{""rootcause"": [{""@rid"": ""#-1:a7545597-b1f6-48c2-b774-146be74c28cb"", ""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1413533,Equipment=1,ReplaceableUnit=63"", ""reason"": ""外部掉电""}, {""@rid"": ""#-1:9f1d5c2c-5b9f-4f8a-a727-2dbe97bffcce"", ""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1413533,Equipment=1,ReplaceableUnit=61"", ""reason"": ""外部掉电""}, {""@rid"": ""#-1:92920b61-0316-474d-bc0f-d4d12b307027"", ""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1413533,Equipment=1,ReplaceableUnit=62"", ""reason"": ""外部掉电""}, {""@rid"": ""#-1:fde9c068-2946-45c5-95f3-eae88071be39"", ""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1413533,Equipment=1,ReplaceableUnit=64"", ""reason"": ""外部掉电""}]}"
0052146f-c00c-4786-8d58-c2db3ec6baa0,"{""rootcause"": [{""@rid"": ""#-1:2ef23c93-34a2-40a2-89b4-90e8e4844fc6"", ""title"": ""单板处于初始化状态"", ""location"": ""SubNetwork=5304,ManagedElement=802170,Equipment=1,Rack=1,SubRack=1,Slot=10,PlugInUnit=1,SdrDeviceGroup=1"", ""reason"": ""1. 用户执行复位单板命令。\n2. 单板上电自启动。\n3. 软件异常导致单板自动复位。""}, {""@rid"": ""#-1:4ca39af0-1573-4ce4-8a37-ea354c733cd9"", ""title"": ""单板不在位"", ""location"": ""SubNetwork=5304,ManagedElement=802170,Equipment=1,Rack=1,SubRack=1,Slot=10,PlugInUnit=1,SdrDeviceGroup=1"", ""reason"": ""1. OMC有配置的槽位，但实际没有插单板。\n2. OMC有配置的槽位，但单板没有插紧。\n3. OMC有配置的槽位，但接插件物理损坏。""}]}"
00c65d88-71c7-4efd-838e-6e46d74c1948,"{""rootcause"": [{""@rid"": ""#-1:9b0bd177-c23d-4426-8213-668c8e77c6d3"", ""title"": ""射频单元CPRI接口异常告警"", ""location"": ""柜号:0; 框号:200; 槽号:0; 端口号:端口0; 端口号:0; 类型:AIRU; :链路故障"", ""reason"": ""566""}]}"
01b0f97d-4713-4071-8ebd-2e03009fcb3a,"{""rootcause"": [{""@rid"": ""#-1:42843cac-db4f-46fd-9f0d-21c399a452ed"", ""title"": ""单板硬件故障告警"", ""location"": ""柜号:0; 框号:0; 槽号:6; 类型:UMPT; :"", ""reason"": ""509""}]}"
01fd647b-a016-4988-b94c-561bd5a2500d,"{""rootcause"": [{""@rid"": ""#-1:a17e09ba-9823-4f7c-95c1-1714def10b6f"", ""title"": ""射频单元CPRI接口异常告警"", ""location"": ""柜号:0; 框号:200; 槽号:0; 端口号:端口0; 端口号:0; 类型:AIRU; :MAC"", ""reason"": ""566""}]}"
0245e338-a360-497f-9d65-72c73c70c742,"{""rootcause"": [{""@rid"": ""#-1:e1a0a19e-6f36-4f76-b479-15766a8e4de2"", ""title"": ""输入电源断"", ""location"": ""SubNetwork=5304,ManagedElement=2659210,Equipment=1,ReplaceableUnit=54"", ""reason"": ""外部掉电""}]}"
025d1580-5bd8-4964-b230-3668ce3a8575,"{""rootcause"": [{""@rid"": ""#-1:52b4fcd3-bebd-4ae8-838f-5ea4160144cd"", ""title"": ""输入电源断"", ""location"": ""SubNetwork=CMCC-GZ-03,ManagedElement=12655325,Equipment=1,ReplaceableUnit=54"", ""reason"": ""输入电源断""}, {""@rid"": ""#-1:7316fac8-cc22-45ff-b9ea-5ebb88338f2c"", ""title"": ""输入电源断"", ""location"": ""SubNetwork=CMCC-GZ-03,ManagedElement=12655325,Equipment=1,ReplaceableUnit=55"", ""reason"": ""输入电源断""}]}"
039f70ef-1906-4571-86e6-6caf1f41f459,"{""rootcause"": [{""@rid"": ""#-1:e13f93a4-c7f6-4dc7-872a-aac9858790ab"", ""title"": ""单板处于初始化状态"", ""location"": ""SubNetwork=5303,ManagedElement=802202,Equipment=1,Rack=1,SubRack=1,Slot=9,PlugInUnit=1,SdrDeviceGroup=1"", ""reason"": ""1. 用户执行复位单板命令。\n2. 单板上电自启动。\n3. 软件异常导致单板自动复位。""}, {""@rid"": ""#-1:d11b583b-3561-43bb-8229-b7964fd63fa2"", ""title"": ""初始化失败"", ""location"": ""SubNetwork=5303,ManagedElement=802202,Equipment=1,Rack=1,SubRack=1,Slot=9,PlugInUnit=1,SdrDeviceGroup=1"", ""reason"": ""1. 单板软件版本错误。\n2. 单板硬件故障。""}]}"
04c4c660-a42b-4c85-ac4f-34ffa598f7ab,"{""rootcause"": [{""@rid"": ""#-1:38107f33-4b6c-49d9-a391-b980935a3646"", ""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1430049,Equipment=1,ReplaceableUnit=72"", ""reason"": ""输入电源断""}, {""@rid"": ""#-1:e51d6ccd-0f54-4fb9-8d04-e8e2533a1c61"", ""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1430049,Equipment=1,ReplaceableUnit=73"", ""reason"": ""输入电源断""}, {""@rid"": ""#-1:1256a33e-d8af-4c54-ba32-6595cd7afc7b"", ""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1430049,Equipment=1,ReplaceableUnit=71"", ""reason"": ""输入电源断""}]}"
050ba66b-e989-48e5-a059-a336a79e0dab,"{""rootcause"": [{""@rid"": ""#-1:806890e7-580c-47ab-85da-8d53fe933d77"", ""title"": ""BBU CPRI接口异常告警"", ""location"": ""柜号:0; 框号:0; 槽号:0; 端口号:1; 端口号:0; 类型:UBBP; :"", ""reason"": ""567""}, {""@rid"": ""#-1:0615159b-a7f7-464f-a048-b0a80e94c736"", ""title"": ""BBU CPRI接口异常告警"", ""location"": ""柜号:0; 框号:0; 槽号:1; 端口号:1; 端口号:0; 类型:UBBP; :"", ""reason"": ""567""}, {""@rid"": ""#-1:94517006-f07c-421c-8f40-a4aaf8c63c5e"", ""title"": ""BBU CPRI接口异常告警"", ""location"": ""柜号:0; 框号:0; 槽号:1; 端口号:0; 端口号:0; 类型:UBBP; :"", ""reason"": ""567""}, {""@rid"": ""#-1:468300d3-ba53-4a45-acee-db648d539f2d"", ""title"": ""BBU CPRI接口异常告警"", ""location"": ""柜号:0; 框号:0; 槽号:0; 端口号:0; 端口号:0; 类型:UBBP; :"", ""reason"": ""567""}]}"
